x,y
0,3.68544834
0.01,3.79000634
0.02,3.88909316
0.03,3.97940186
0.04,4.06003976
0.05,4.13158629
0.06,4.19518085
0.07,4.25202736
0.08,4.30320183
0.09,4.34960599
0.1,4.39197682
0.11,4.43091217
0.12,4.46689763
0.13,4.50032963
0.14,4.53153421
0.15,4.56078159
0.16,4.58829761
0.17,4.61427248
0.18,4.63886764
0.19,4.66222111
0.2,4.68445168
0.21,4.70566221
0.22,4.72594235
0.23,4.74537061
0.24,4.76401616
0.25,4.78194016
0.26,4.79919699
0.27,4.81583519
0.28,4.83189824
0.29,4.84742525
0.3,4.8624515
0.31,4.87700896
0.32,4.89112664
0.33,4.90483097
0.34,4.91814609
0.35,4.93109409
0.38888889,4.97831502
0.42777778,5.02125286
0.46666667,5.06064474
0.50555556,5.09705345
0.54444444,5.13091821
0.58333333,5.16258835
0.62222222,5.19234621
0.66111111,5.2204232
0.7,5.24701137
0.77,5.29161658
0.84,5.33265868
0.91,5.37071101
0.98,5.4062199
1.05,5.43953959
1.1375,5.47854109
1.225,5.51501278
1.3125,5.54931012
1.4,5.58171999
1.51666667,5.62239719
1.63333333,5.66058207
1.75,5.69663212
1.925,5.74732162
2.1,5.79461348
2.275,5.83909371
2.45,5.88122058
2.625,5.92136013
2.8,5.95981026
2.975,5.99681753
3.15,6.03258914
3.5,6.10110819
3.85,6.16652247
4.2,6.22973969
4.55,6.29151213
4.9,6.35249827
5.25,6.41330811
5.6,6.47454092
5.95,6.53682116
6.3,6.60083833
6.65,6.66739734
6.825,6.70192991
7,6.73748943
7.175,6.77424667
7.35,6.81240117
7.525,6.85218929
7.7,6.89389522
7.875,6.93786622
8.05,6.98453408
8.225,7.03444648
8.4,7.08831392
8.51666667,7.12687725
8.63333333,7.16797269
8.75,7.21205271
8.8375,7.24741291
8.925,7.28507872
9.0125,7.32542745
9.1,7.3689322
9.15833333,7.39997991
9.21666667,7.43291538
9.275,7.4680035
9.33333333,7.50556545
9.39166667,7.54599464
9.45,7.58977797
9.485,7.6179051
9.52,7.64761335
9.555,7.67908415
9.59,7.71252685
9.625,7.74818277
9.66,7.78632905
9.695,7.82728108
9.73,7.87139142
9.765,7.91904132
9.8,7.97061783
9.81842105,7.99946099
9.83684211,8.02952853
9.85526316,8.06084512
9.87368421,8.09341497
9.89210526,8.12721483
9.91052632,8.16218672
9.92894737,8.19823131
9.94736842,8.23520356
9.96578947,8.27291205
9.98421053,8.3111237
10.00263158,8.3495743
10.02105263,8.38798405
10.03947368,8.42607586
10.05789474,8.46359306
10.07631579,8.50031377
10.09473684,8.5360597
10.11315789,8.57069924
10.13157895,8.6041456
10.15,8.63635153
10.17916667,8.68478109
10.20833333,8.73013469
10.2375,8.77257131
10.26666667,8.81229883
10.29583333,8.84954226
10.325,8.88452476
10.35416667,8.91745727
10.38333333,8.9485337
10.4125,8.97792939
10.44166667,9.00580135
10.47083333,9.03228938
10.5,9.05751767
10.55833333,9.10462362
10.61666667,9.14786172
10.675,9.18782132
10.73333333,9.22497442
10.79166667,9.2597029
10.85,9.29231903
10.9375,9.33783473
11.025,9.37986677
11.1125,9.41895749
11.2,9.4555354
11.31666667,9.50098202
11.43333333,9.54321082
11.55,9.58272283
11.66666667,9.61991462
11.78333333,9.65510536
11.9,9.68855575
12.075,9.73593021
12.25,9.78045358
12.425,9.82258597
12.6,9.86269506
12.775,9.90107994
12.95,9.93798788
13.125,9.97362631
13.3,10.00817162
13.65,10.0745712
14,10.13819109
14.35,10.19983024
14.7,10.26015454
15.05,10.31974566
15.4,10.37913626
15.75,10.43883739
16.1,10.49936168
16.45,10.56124445
16.8,10.62506398
17.15,10.69146071
17.5,10.76115275
17.675,10.79748164
17.85,10.8349399
18.025,10.87363605
18.2,10.91367705
18.375,10.95516264
18.55,10.99817681
18.725,11.04277546
18.9,11.08896998
19.075,11.13670668
19.25,11.18584445
19.425,11.23613497
19.6,11.28721315
19.775,11.33860568
19.95,11.38976344
20.125,11.44011438
20.3,11.48912482
20.475,11.53635207
20.65,11.58147539
20.825,11.62430161
21,11.66475175
21.175,11.70283637
21.35,11.73862949
21.7,11.80381946
22.05,11.86142162
22.4,11.91256341
22.75,11.95825232
23.1,11.99933826
23.45,12.0365214
23.8,12.07037387
24.15,12.10136324
24.5,12.12987323
24.85,12.15622073
25.2,12.18066929
25.55,12.20343989
25.9,12.22471846
26.25,12.24466398
26.6,12.26341188
26.95,12.28107896
27.3,12.29776676
27.65,12.31356325
28,12.32854571
28.35,12.34278273
28.7,12.35633404
29.05,12.36925333
29.4,12.38158836
29.75,12.39338187
30.1,12.40467229
30.45,12.41549426
30.8,12.42587912
31.15,12.43585531
31.5,12.4454487
31.85,12.45468287
32.2,12.46357941
32.55,12.4721581
32.9,12.48043711
33.25,12.48843318
33.6,12.49616193
33.95,12.50363683
34.3,12.51087227
34.65,12.51787988
35,12.52467108
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
