x,y
0,4.62500129
0.001875,5.52986213
0.00375,5.82591347
0.005625,6.00112941
0.0075,6.12581322
0.009375,6.22264874
0.01125,6.30182669
0.013125,6.36880383
0.015,6.4268441
0.016875,6.47805539
0.01875,6.52387815
0.020625,6.56534036
0.0225,6.60320135
0.024375,6.63803793
0.02625,6.67029858
0.028125,6.70033888
0.03,6.72844552
0.031875,6.75485303
0.03375,6.77975571
0.035625,6.80331631
0.0375,6.82567255
0.039375,6.84694198
0.04125,6.86722572
0.043125,6.88661142
0.045,6.90517554
0.046875,6.92298516
0.04875,6.94009947
0.050625,6.95657097
0.0525,6.97244642
0.054375,6.98776764
0.05625,7.00257224
0.058125,7.01689408
0.06,7.03076383
0.061875,7.04420931
0.06375,7.05725585
0.065625,7.0699266
0.0675,7.08224271
0.069375,7.09422364
0.07125,7.10588725
0.073125,7.11725003
0.075,7.12832722
0.076875,7.13913293
0.07875,7.14968023
0.080625,7.15998129
0.0825,7.17004744
0.084375,7.17988923
0.08625,7.18951653
0.088125,7.19893856
0.09,7.20816396
0.091875,7.21720086
0.09375,7.22605685
0.095625,7.23473912
0.0975,7.24325441
0.099375,7.25160907
0.10125,7.25980912
0.103125,7.26786023
0.105,7.27576777
0.106875,7.28353682
0.10875,7.29117219
0.110625,7.29867847
0.1125,7.30605999
0.114375,7.31332087
0.11625,7.32046504
0.118125,7.32749623
0.12,7.33441801
0.121875,7.34123376
0.12375,7.34794673
0.125625,7.35456001
0.1275,7.36107654
0.129375,7.36749916
0.13125,7.37383057
0.133125,7.38007335
0.135,7.38622999
0.136875,7.39230287
0.13875,7.39829426
0.140625,7.40420635
0.1425,7.41004124
0.144375,7.41580095
0.14625,7.42148742
0.148125,7.42710253
0.15,7.43264805
0.16875,7.48462779
0.1875,7.53121414
0.20625,7.57343731
0.225,7.61205798
0.24375,7.64765381
0.2625,7.68067384
0.28125,7.71147403
0.3,7.74034135
0.33,7.78307917
0.36,7.82221705
0.39,7.8583327
0.42,7.89187516
0.45,7.92320042
0.5,7.97123752
0.55,8.01492184
0.6,8.0550142
0.675,8.10964551
0.75,8.15890987
0.825,8.20383798
0.9,8.24519098
0.975,8.28354703
1.05,8.31935563
1.2,8.38468742
1.35,8.44330596
1.5,8.49666005
1.65,8.54578458
1.8,8.59144511
1.95,8.6342245
2.1,8.67457724
2.25,8.71286507
2.4,8.74938108
2.55,8.78436645
2.7,8.8180225
2.85,8.85051941
3,8.88200273
3.15,8.91259834
3.3,8.94241626
3.45,8.97155359
3.6,9.00009689
3.75,9.02812407
3.9,9.05570593
4.05,9.08290741
4.2,9.1097887
4.35,9.1364061
4.5,9.16281281
4.65,9.18905965
4.8,9.21519563
4.95,9.24126855
5.1,9.26732553
5.25,9.2934135
5.4,9.31957973
5.55,9.34587234
5.7,9.37234084
5.85,9.39903671
6,9.42601405
6.15,9.45333026
6.3,9.48104689
6.45,9.50923058
6.6,9.53795415
6.75,9.56729798
6.9,9.59735163
7.05,9.62821586
7.2,9.66000511
7.35,9.69285076
7.5,9.72690515
7.65,9.76234692
7.8,9.79938813
7.95,9.83828372
8.1,9.87934465
8.25,9.92295632
8.4,9.96960516
8.55,10.01991817
8.7,10.07472364
8.85,10.1351485
9,10.20278204
9.075,10.2399927
9.15,10.2799687
9.225,10.32321246
9.3,10.37037302
9.35,10.40440186
9.4,10.44087106
9.45,10.48018352
9.4875,10.51183445
9.525,10.54563271
9.5625,10.58190124
9.6,10.62103799
9.63,10.65474222
9.66,10.69091048
9.69,10.72992369
9.72,10.77224925
9.75,10.81846492
9.76666667,10.84607856
9.78333333,10.8752561
9.8,10.90616054
9.81666667,10.93897415
9.83333333,10.97389865
9.85,11.01115342
9.86666667,11.05097006
9.88333333,11.09358075
9.9,11.13919687
9.91071429,11.17018445
9.92142857,11.20249997
9.93214286,11.23613709
9.94285714,11.27105503
9.95357143,11.30716996
9.96428571,11.34434817
9.975,11.38240269
9.98571429,11.42109535
9.99642857,11.46014606
10.00714286,11.49924877
10.01785714,11.53809234
10.02857143,11.57638211
10.03928571,11.61385911
10.05,11.6503122
10.065,11.69933672
10.08,11.7457911
10.095,11.78958034
10.11,11.83073191
10.125,11.86935278
10.14,11.90559467
10.155,11.93962977
10.17,11.97163425
10.185,12.00177949
10.2,12.0302263
10.225,12.07426014
10.25,12.11458658
10.275,12.15171319
10.3,12.1860633
10.325,12.21798973
10.35,12.2477875
10.3875,12.2890241
10.425,12.32670071
10.4625,12.36135377
10.5,12.3934104
10.55,12.43270143
10.6,12.4686347
10.65,12.50171731
10.725,12.54685552
10.8,12.58751367
10.875,12.62447112
10.95,12.65832062
11.1,12.71845027
11.25,12.77059727
11.4,12.81655473
11.55,12.85757533
11.7,12.89456856
11.85,12.92821223
12,12.95903135
12.15,12.98743423
12.3,13.01374809
12.45,13.03823822
12.6,13.06112281
12.75,13.08258434
12.9,13.10277225
13.05,13.12182006
13.2,13.13983711
13.35,13.15691848
13.5,13.17314767
13.65,13.18859844
13.8,13.20333439
13.95,13.21741002
14.1,13.23087726
14.25,13.24377944
14.4,13.25616012
14.55,13.26805142
14.7,13.2794872
14.85,13.29049688
15,13.30110717
