x,y
0,1.00004342
0.35,1.03045499
0.7,1.06094141
1.05,1.09157854
1.4,1.12244449
1.75,1.15362088
2.1,1.18519417
2.45,1.21725728
2.8,1.2499114
3.15,1.2832682
3.5,1.31745258
3.85,1.35260601
4.2,1.38889093
4.55,1.42649634
4.9,1.46564524
5.25,1.50660471
5.6,1.54969976
5.95,1.59533289
6.3,1.64401252
6.65,1.69639551
7,1.75335321
7.35,1.81607864
7.525,1.8501076
7.7,1.88626997
7.875,1.92491141
8.05,1.96646665
8.225,2.01149301
8.4,2.06072144
8.51666667,2.09634751
8.63333333,2.13465126
8.75,2.17611442
8.8375,2.20965336
8.925,2.24565037
9.0125,2.28452496
9.1,2.32681359
9.15833333,2.35724027
9.21666667,2.38975405
9.275,2.42467891
9.33333333,2.46242046
9.39166667,2.50349592
9.45,2.54857924
9.47916667,2.5728939
9.50833333,2.59857166
9.5375,2.62577948
9.56666667,2.65471694
9.59583333,2.68562541
9.625,2.71880053
9.65416667,2.75460988
9.68333333,2.79351836
9.7125,2.83612589
9.74166667,2.88322536
9.77083333,2.93589549
9.8,2.99565712
9.80155556,2.99908229
9.80311111,3.00253414
9.80466667,3.0060131
9.80622222,3.0095196
9.80777778,3.01305408
9.80933333,3.016617
9.81088889,3.02020883
9.81244444,3.02383004
9.814,3.02748113
9.81555556,3.03116259
9.81711111,3.03487493
9.81866667,3.0386187
9.82022222,3.04239442
9.82177778,3.04620265
9.82333333,3.05004397
9.82488889,3.05391896
9.82644444,3.05782822
9.828,3.06177236
9.82955556,3.06575203
9.83111111,3.06976786
9.83266667,3.07382054
9.83422222,3.07791075
9.83577778,3.0820392
9.83733333,3.08620661
9.83888889,3.09041374
9.84044444,3.09466135
9.842,3.09895024
9.84355556,3.10328122
9.84511111,3.10765515
9.84666667,3.11207287
9.84822222,3.1165353
9.84977778,3.12104334
9.85133333,3.12559795
9.85288889,3.1302001
9.85444444,3.13485082
9.856,3.13955114
9.85755556,3.14430213
9.85911111,3.14910492
9.86066667,3.15396065
9.86222222,3.15887052
9.86377778,3.16383574
9.86533333,3.1688576
9.86688889,3.1739374
9.86844444,3.17907652
9.87,3.18427636
9.87155556,3.18953838
9.87311111,3.19486411
9.87466667,3.2002551
9.87622222,3.205713
9.87777778,3.21123949
9.87933333,3.21683633
9.88088889,3.22250535
9.88244444,3.22824845
9.884,3.23406759
9.88555556,3.23996484
9.88711111,3.24594233
9.88866667,3.25200228
9.89022222,3.25814702
9.89177778,3.26437897
9.89333333,3.27070065
9.89488889,3.2771147
9.89644444,3.28362388
9.898,3.29023106
9.89955556,3.29693926
9.90111111,3.30375163
9.90266667,3.31067147
9.90422222,3.31770226
9.90577778,3.32484761
9.90733333,3.33211134
9.90888889,3.33949747
9.91044444,3.34701021
9.912,3.354654
9.91355556,3.36243351
9.91511111,3.37035367
9.91666667,3.37841968
9.91822222,3.38663705
9.91977778,3.39501158
9.92133333,3.40354943
9.92288889,3.41225712
9.92444444,3.42114158
9.926,3.43021017
9.92755556,3.4394707
9.92911111,3.44893152
9.93066667,3.4586015
9.93222222,3.46849015
9.93377778,3.47860761
9.93533333,3.48896477
9.93688889,3.4995733
9.93844444,3.51044575
9.94,3.52159564
9.94155556,3.53303753
9.94311111,3.54478718
9.94466667,3.55686167
9.94622222,3.56927951
9.94777778,3.58206088
9.94933333,3.59522776
9.95088889,3.60880419
