x,y
0,0.96209547
0.35,0.98902678
0.7,1.01570996
1.05,1.04218415
1.4,1.06848561
1.75,1.09464812
2.1,1.12070321
2.45,1.14668047
2.8,1.17260774
3.15,1.19851131
3.5,1.22441608
3.85,1.25034568
4.2,1.27632266
4.55,1.30236854
4.9,1.32850397
5.25,1.35474884
5.6,1.38112233
5.95,1.40764312
6.3,1.43432944
6.65,1.46119923
7,1.48827032
7.35,1.51556056
7.7,1.54308806
8.05,1.57087139
8.4,1.59892986
8.75,1.6272838
9.1,1.65595491
9.45,1.68496667
9.8,1.71434473
10.15,1.74411747
10.5,1.77431654
10.85,1.80497754
11.2,1.83614079
11.55,1.8678522
11.9,1.90016434
12.25,1.93313772
12.6,1.96684222
12.95,2.00135902
13.3,2.03678284
13.65,2.0732248
14,2.11081609
14.35,2.14971271
14.7,2.19010168
15.05,2.23220942
15.4,2.27631314
15.75,2.32275675
16.1,2.37197372
16.45,2.42452055
16.8,2.48112785
17.15,2.54278105
17.5,2.61085429
17.675,2.6478886
17.85,2.68734599
18.025,2.72964613
18.2,2.77532562
18.375,2.82508603
18.55,2.87986931
18.66666667,2.91980657
18.78333333,2.96306264
18.9,3.01031154
18.97,3.04093992
19.04,3.07357205
19.11,3.10851267
19.18,3.14614148
19.25,3.18694001
19.29375,3.21431812
19.3375,3.24336341
19.38125,3.27430418
19.425,3.30741905
19.46875,3.34305286
19.5125,3.3816395
19.55625,3.42373549
19.6,3.47007103
19.61346154,3.4853246
19.62692308,3.50110499
19.64038462,3.51745093
19.65384615,3.5344056
19.66730769,3.55201733
19.68076923,3.57034043
19.69423077,3.58943623
19.70769231,3.60937437
19.72115385,3.63023431
19.73461538,3.65210734
19.74807692,3.67509901
19.76153846,3.69933225
19.775,3.72495146
19.78846154,3.75212778
19.80192308,3.78106614
19.81538462,3.8120148
19.82884615,3.84527844
19.84230769,3.88123677
19.85576923,3.9203713
19.86923077,3.96330533
19.88269231,4.01086585
19.89615385,4.06418312
19.90961538,4.12485996
19.92307692,4.1952785
19.93653846,4.27920493
19.95,4.38312555
19.9518617,4.39965734
19.9537234,4.41683918
19.95558511,4.43472446
19.95744681,4.45337343
19.95930851,4.47285446
19.96117021,4.49324548
19.96303191,4.51463598
19.96489362,4.53712926
19.96675532,4.56084556
19.96861702,4.58592592
19.97047872,4.61253727
19.97234043,4.64087918
19.97420213,4.67119299
19.97606383,4.70377434
19.97792553,4.73899078
19.97978723,4.77730716
19.98164894,4.81932334
19.98351064,4.86583211
19.98537234,4.91791203
19.98723404,4.97708366
19.98909574,5.04558993
19.99095745,5.12694131
19.99281915,5.22709763
19.99468085,5.35745869
19.99654255,5.54452156
19.99840426,5.87987937
20.00026596,7.96846416
20.00212766,8.85109852
20.00398936,9.12382361
20.00585106,9.29007501
20.00771277,9.41000381
20.00957447,9.50387205
20.01143617,9.58100591
20.01329787,9.64647737
20.01515957,9.70335323
20.01702128,9.75362999
20.01888298,9.79868041
20.02074468,9.83948897
20.02260638,9.87678578
20.02446809,9.9111273
20.02632979,9.94294738
20.02819149,9.97259083
20.03005319,10.00033625
20.03191489,10.02641193
20.0337766,10.05100731
20.0356383,10.07428133
20.0375,10.09636861
20.0393617,10.11738419
20.0412234,10.13742717
20.04308511,10.15658349
20.04494681,10.1749282
20.04680851,10.19252719
20.04867021,10.20943865
20.05053191,10.22571421
20.05239362,10.24139989
20.05425532,10.25653689
20.05611702,10.27116224
20.05797872,10.28530934
20.05984043,10.29900844
20.06170213,10.31228699
20.06356383,10.32516998
20.06542553,10.33768027
20.06728723,10.34983878
20.06914894,10.36166469
20.07101064,10.3731757
20.07287234,10.3843881
20.07473404,10.39531696
20.07659574,10.40597623
20.07845745,10.41637887
20.08031915,10.4265369
20.08218085,10.43646155
20.08404255,10.44616327
20.08590426,10.45565182
20.08776596,10.46493636
20.08962766,10.47402544
20.09148936,10.4829271
20.09335106,10.4916489
20.09521277,10.50019794
20.09707447,10.5085809
20.09893617,10.51680411
20.10079787,10.52487351
20.10265957,10.53279474
20.10452128,10.54057312
20.10638298,10.5482137
20.10824468,10.55572126
20.11010638,10.56310033
20.11196809,10.57035523
20.11382979,10.57749005
20.11569149,10.58450869
20.11755319,10.59141485
20.11941489,10.59821207
20.1212766,10.60490373
20.1231383,10.61149303
20.125,10.61798306
20.1268617,10.62437674
20.1287234,10.63067688
20.13058511,10.63688618
20.13244681,10.64300718
20.13430851,10.64904238
20.13617021,10.65499414
20.13803191,10.6608647
20.13989362,10.66665626
20.14175532,10.6723709
20.14361702,10.67801063
20.14547872,10.68357737
20.14734043,10.68907298
20.14920213,10.69449926
20.15106383,10.69985792
20.15292553,10.70515061
20.15478723,10.71037893
20.15664894,10.71554443
